https://www.bike-discount.de/en/mondraker-level-r-2	Mondraker LEVEL R	€3,999.00	Level 6061 Alloy Stealth Evo, e-Bike Optimized Zero Suspension System, 170mm travel, Forward Geometry, internal non-removable battery, Boost 12x148mm rear axle, tapered head tube, one-piece Monoblock upper link, HHG internal cable routing, MAX capacity se	aluminium	29"	150 kg (body weight + bike + equipment)	26.9 kg
https://www.bike-discount.de/en/mondraker-dusk-r-2	Mondraker DUSK R	€3,699.00	Dusk 6061 Alloy Stealth Evo, e-Bike Optimized Zero Suspension System, 150mm travel, Forward Geometry, integrated internal non-removable battery, Boost 12x148mm rear axle, tapered head tube, one-piece Monoblock upper link, HHG internal cable routing, MAX c				24.5 kg
https://www.bike-discount.de/en/radon-deft-10.0-750	Radon Deft 10.0 750	€5,439.20	RADON DEFT, maximale Reifenbreite: 2.6"	Carbon Hauptrahmen / Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 24,1 kg
https://www.bike-discount.de/en/radon-render-9.0-750	Radon Render 9.0 750	€4,319.20	RENDER, Maximale Reifenbreite: 2.6"	Carbon Hauptrahmen/Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 24,4 kg
https://www.bike-discount.de/en/radon-render-10.0-750	Radon Render 10.0 750	€4,799.20	RENDER	Carbon Hauptrahmen/Aluminium Hinterbau
Maximale Reifenbreite: 2.6"	29"	135 kg (body weight + bike + equipment)	ab 23,85 kg
https://www.bike-discount.de/en/radon-deft-10.0-750-ms	Radon Deft 10.0 750 MS	€5,599.20	RADON DEFT, maximale Reifenbreite: 2.6"	Carbon Hauptrahmen / Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 24,1 kg
https://www.bike-discount.de/en/radon-render-al-8.0-750	Radon Render AL 8.0 750	€3,519.20	RENDER AL, Maximale Reifenbreite: 2.6", Powertube Akku 750 Wh, Schaltauge: UDH	Aluminium Hauptrahmen/Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	ab 25,45 kg
https://www.bike-discount.de/en/radon-jealous-hybrid-9.0-625-1	Radon Jealous Hybrid 9.0 625	€2,599.00	JEALOUS HYBRID, Maximale Reifenbreite: 2.6", Powertube Akku 625 Wh horizontal	aluminium	29"	135 kg (body weight + bike + equipment)	starting from 22,90 kg
https://www.bike-discount.de/en/mondraker-level-rr	Mondraker LEVEL RR	€4,999.00	Level 6061 Alloy Stealth Evo, e-Bike Optimized Zero Suspension System, 170mm travel, Forward Geometry, internal non-removable battery, Boost 12x148mm rear axle, tapered head tube, one-piece Monoblock upper link, HHG internal cable routing, MAX capacity se	aluminium	29"	150 kg	26,8 kg
https://www.bike-discount.de/en/radon-relate-9.0-lady-625	Radon Relate 9.0 Lady 625	€2,799.00	RELATE	aluminium	28"	150 kg -> 130 kg (Körpergewicht + Fahrrad + Ausrüstung) + 20 kg Zuladung (Gepäckträger)	ab 25,4kg
https://www.bike-discount.de/en/radon-relate-9.0-750	Radon Relate 9.0 750	€3,039.20	RELATE 750	aluminium	28"	150 kg -> 130 kg (Körpergewicht + Fahrrad + Ausrüstung) + 20 kg Zuladung (Gepäckträger)	ab 25,90 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-actionteam-750-actionteam	Cube Stereo Hybrid 140 HPC Actionteam 750 actionteam	€5,399.00	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	150 kg (body weight + bike + equipment)	starting from 24,2 kg
https://www.bike-discount.de/en/radon-jab-10.0-2	Radon Jab 10.0	€2,999.00	JAB, Weight 2.280 g, Max. width tire 2.4", Flip Chip for geometry adjusting, Hanger #10240	Full Carbon mainframe and rear triangle	27.5"	115 kg (body weight + bike + equipment)	starting from 14,10 kg
https://www.bike-discount.de/en/radon-spire-disc-8.0-2	Radon Spire Disc 8.0	€1,679.20	SPIRE DISC	Carbon	28"	115 kg (body weight + bike + equipment)	ab 8,25 Kg
https://www.bike-discount.de/en/radon-jealous-hybrid-9.0-750-1	Radon Jealous Hybrid 9.0 750	€2,799.00	JEALOUS HYBRID 750, Maximale Reifenbreite: 2.6", Powertube Akku 750 Wh horizontal	aluminium	29"	135 kg (body weight + bike + equipment)	ab 23,95 kg
https://www.bike-discount.de/en/cube-reaction-hybrid-one-625-grey-n-black	Cube Reaction Hybrid ONE 625 grey´n´black	€1,999.00	Aluminium Superlite, Gravity Casting, Agile Ride Geometry, 1.5 Headtube, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing, Kickstand/Fender/Carrier Mounting Points	aluminium	27.5: S (15") // 29": M (17"), L (19"), XL (21"), XXL (23")	140 kg (body weight + bike + equipment)	starting from 23,4 kg
https://www.bike-discount.de/en/radon-render-10.0-hd-750	Radon Render 10.0 HD 750	€5,599.20	RENDER 750	Carbon Hauptrahmen/Aluminium Hinterbau
Maximale Reifenbreite: 2.6"	29"	135 kg (body weight + bike + equipment)	starting from 23,6 kg
https://www.bike-discount.de/en/radon-deft-8.0-750-ms	Radon Deft 8.0 750 MS	€4,239.20	RADON DEFT, maximale Reifenbreite: 2.6"	Carbon Hauptrahmen / Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 24,8 kg
https://www.bike-discount.de/en/radon-spire-disc-10.0-2	Radon Spire Disc 10.0	€2,879.20	SPIRE Carbon Disc	Carbon	28"	115 kg (body weight + bike + equipment)	starting from 7,65 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-160-hpc-actionteam-750-27.5-actionteam-1	Cube Stereo Hybrid 160 HPC Actionteam 750 27.5 actionteam	€5,519.20	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	27.5"x2.4	150 kg (body weight + bike + equipment)	starting from 24,2 kg
https://www.bike-discount.de/en/cube-reaction-hybrid-slt-750-goblin-n-yellow	Cube Reaction Hybrid SLT 750 goblin´n´yellow	€3,519.20	Aluminium Superlite, Gravity Casting, Agile Ride Geometry, 1.5 Headtube, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing, Kickstand/Fender/Carrier Mounting Points	aluminium	Size Split: 27.5: S (15") // 29": M (17"), L (19"), XL (21"), XXL (23")	160 kg (Körpergewicht + Fahrrad + Ausrüstung)	starting from 23,8 kg
https://www.bike-discount.de/en/radon-deft-9.0-750-ms	Radon Deft 9.0 750 MS	€4,959.20	RADON DEFT, maximale Reifenbreite: 2.6"	Carbon Hauptrahmen / Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 24,6 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-tm-750-flashgrey-n-olive	Cube Stereo Hybrid 140 HPC TM 750 flashgrey´n´olive	€4,639.20	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	160 kg (Körpergewicht + Fahrrad + Ausrüstung)	starting from 24,6 kg
https://www.bike-discount.de/en/cube-reaction-hybrid-race-750-easy-entry-grey-n-metal	Cube Reaction Hybrid Race 750 Easy Entry grey´n´metal	€2,999.00	Aluminium Superlite, Gravity Casting, Agile Ride Geometry, 1.5 Headtube, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing, Kickstand/Fender/Carrier Mounting Points	aluminium	27.5"	150 kg (body weight + bike + equipment)	starting from 24,1 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-slx-750-carbon-n-reflex	Cube Stereo Hybrid 140 HPC SLX 750 carbon´n´reflex	€4,239.20	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	150 kg (body weight + bike + equipment)	ab 24,1kg
https://www.bike-discount.de/en/radon-spire-disc-9.0-3	Radon Spire Disc 9.0	€2,239.20	SPIRE Carbon Disc	Carbon	28"	115 kg (body weight + bike + equipment)	starting from 7,80 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-160-hpc-tm-750-27.5-flashgrey-n-olive-1	Cube Stereo Hybrid 160 HPC TM 750 27.5 flashgrey´n´olive	€4,699.00	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	27.5"x2.4	160 kg (Körpergewicht + Fahrrad + Ausrüstung)	starting from 24,4 kg
https://www.bike-discount.de/en/radon-render-al-7.0-750	Radon Render AL 7.0 750	€3,279.20	RENDER AL, Maximale Reifenbreite: 2.6", Powertube Akku 750Wh	Aluminium Hauptrahmen/Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	ab 25,85 kg
https://www.bike-discount.de/en/cube-reaction-hybrid-pro-750-easy-entry-blushrose-n-silver	Cube Reaction Hybrid Pro 750 Easy Entry blushrose´n´silver	€2,499.00	Aluminium Superlite, Gravity Casting, Agile Ride Geometry, 1.5 Headtube, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing	aluminium	27.5"	150 kg (body weight + bike + equipment)	starting from 24,6 kg
https://www.bike-discount.de/en/cube-kathmandu-hybrid-pro-750-flashgrey-n-metal	Cube Kathmandu Hybrid Pro 750 flashgrey´n´metal	€2,959.20	Aluminium Superlite, Gravity Casting Technology, Efficient Comfort Geometry, Boost148, Full Integrated Battery, Integrated Carrier 3.0, Advanced Internal Cable Routing, 1.5 Headtube	aluminium	28"	150 kg (body weight + bike + equipment)	starting from 26,9 kg
https://www.bike-discount.de/en/radon-vaillant-disc-10.0-ea	Radon Vaillant Disc 10.0 EA	€3,599.20	VAILLANT Carbon Disc	Carbon	28"	115 kg (body weight + bike + equipment)	starting from 7,65 kg
https://www.bike-discount.de/en/radon-render-8.0-625-1	Radon Render 8.0 625	€3,999.00	RENDER HYBRID, Max. width tire 2.6", Powertube Akku 625 Wh	Carbon mainframe, alloy rear triangle	29"	135 kg (body weight + bike + equipment)	ab 23,95 kg
https://www.bike-discount.de/en/focus-jam2-7.8-1	Focus JAM² 7.8	€3,399.00	7005 hydroformed aluminium, 3D forging, 150 mm F.O.L.D.
GEN2 kinematic, 148x12 mm thru axle, internal cable
routing, post mount 203 mm	aluminium	29"	150 kg (body weight + bike + equipment)	25,00 kg
https://www.bike-discount.de/en/radon-jealous-hybrid-8.0-625-1	Radon Jealous Hybrid 8.0 625	€2,199.00	JEALOUS AL HYBRID, Maximale Reifenbreite 2.6", Powertube Akku 625 Wh horizontal	aluminium	29"	135 kg (body weight + bike + equipment)	starting from 22,45 kg
https://www.bike-discount.de/en/radon-jab-9.0-2	Radon Jab 9.0	€2,499.00	JAB, Weight 2.280 g, Max. width tire 2.4", Flip Chip for geometry adjusting, Hanger #10240	Full Carbon mainframe and rear triangle	27.5"	115 kg (body weight + bike + equipment)	starting from 14,45 kg
https://www.bike-discount.de/en/radon-slide-trail-al-8.0-1	Radon Slide Trail AL 8.0	€2,099.00	SLIDE TRAIL AL 29, Maximale Reifenbreite: 2.4", Flip Chip Technology, Schaltauge #10240	aluminium	29"	115 kg (body weight + bike + equipment)	starting from 15,10 kg
https://www.bike-discount.de/en/focus-jam2-8.8	Focus JAM² 8.8	€4,599.00	Carbon front triangle, aluminium rear triangle, 150 mm F.O.L.D. GEN2 kinematics, 148x12 mm thru axle, internal cable routing, post mount 203 mm	Carbon	29"	150 kg (body weight + bike + equipment)	
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-pro-750-swampgrey-n-black	Cube Stereo Hybrid 140 HPC Pro 750 swampgrey´n´black	€3,599.00	C:62® Monocoque Advanced Twin Mold Technology, Aluminium 6061 T6 Rear Triangle, Efficient Trail Control, FSP 4-Link, Agile Trail Geometry, Boost 148, UDH™, Full Integrated Battery, Advanced Internal Cable Routing	Carbon mainframe, alloy rear triangle	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	150 kg (body weight + bike + equipment)	starting from 24,6 kg
https://www.bike-discount.de/en/radon-jealous-10.0-ea-2	Radon Jealous 10.0 EA	€4,499.00	NEW JEALOUS Carbon Superlite, Weight 950 g, Max. width tire 2.25", Max. chainring 36T, 1x compatible	Carbon	29"	115 kg (body weight + bike + equipment)	ab 8,55 kg
https://www.bike-discount.de/en/radon-swoop-10.0-3	Radon Swoop 10.0	€3,299.00	SWOOP, Gewicht: 3.150g, Maximale Reifenbreite: 2.4", Schaltauge: #8651	Carbon mainframe, alloy rear triangle	29"	115 kg (body weight + bike + equipment)	starting from 15,30 kg
https://www.bike-discount.de/en/radon-relate-8.0-lady-625-1	Radon Relate 8.0 Lady 625	€2,699.00	RELATE		28"	150 kg -> 130 kg (Körpergewicht + Fahrrad + Ausrüstung) + 20 kg Zuladung (Gepäckträger)	starting from 25 kg
https://www.bike-discount.de/en/radon-render-10.0-hd-750-ms	Radon Render 10.0 HD 750 MS	€5,999.20	RENDER, Maximale Reifenbreite: 2.6", Powertube Akku 750 Wh	Carbon Hauptrahmen/Aluminium Hinterbau	29"	135 kg (body weight + bike + equipment)	starting from 23,9 kg
https://www.bike-discount.de/en/cube-nuroad-pro-fe-metalblack-n-grey	Cube Nuroad Pro FE metalblack´n´grey	€1,119.20	Aluminium 6061 T6 Superlite, Gravel Comfort Geometry, Flat Mount Disc, 12x142mm, AXH	aluminium	28"	115 kg (body weight + bike + equipment)	starting from 11.8 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-120-slt-750-prizmblack-n-black	Cube Stereo Hybrid 120 SLT 750 prizmblack´n´black	€4,239.20	Aluminum Superlite, Gravity Casting Technology, Efficient Comfort Control, FSP 4-Link, Agile Comfort Geometry, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing, Kickstand/Fender/Carrier Mounting Points	aluminium	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	160 kg (Körpergewicht + Fahrrad + Ausrüstung)	starting from 25,3 kg
https://www.bike-discount.de/en/radon-cragger-7.0-2	Radon Cragger 7.0	€1,119.20	CRAGGER, Weight 1.850g, Max. width tire 2.4" (29") / 2.8" (27.5"), 1x compatible	aluminium	29"	115 kg (body weight + bike + equipment)	starting from 13,5 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-120-tm-750-flashgrey-n-olive	Cube Stereo Hybrid 120 TM 750 flashgrey´n´olive	€3,999.00	Aluminum Superlite, Gravity Casting Technology, Efficient Comfort Control, FSP 4-Link, Agile Comfort Geometry, Boost 148, Full Integrated Battery, Advanced Internal Cable Routing, Kickstand/Fender/Carrier Mounting Points	aluminium	Size Split: 27.5: S (16") // 29: M (18"), L (20"), XL (22")	150 kg (body weight + bike + equipment)	starting from 25,9 kg
